Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Compensation of employees (% of expense) [GC.XPN.COMP.ZS],Goods and services expense (% of expense) [GC.XPN.GSRV.ZS],Customs and other import duties (current LCU) [GC.TAX.IMPT.CN],Grants and other revenue (% of revenue) [GC.REV.GOTR.ZS],Interest payments (% of expense),Interest payments (% of revenue)
1990,YR1990,Canada,CAN,38.84551156,..,10.50662817,7.51888222,..,11.61262115,25.14288442,30.71048605
1990,YR1990,India,IND,21.50484833,50.78325379,11.17637827,13.88807928,2.0608E+11,20.14188131,22.36172455,27.63914483
1990,YR1990,Indonesia,IDN,65.43771425,45.74145233,24.24242424,11.46210112,2.4857E+12,5.394530658,20.21943574,12.71546277
1990,YR1990,Switzerland,CHE,29.18090822,12.32532176,7.406271557,6.90266248,1200677796,9.740986868,3.528761271,3.34624198
1990,YR1990,United Kingdom,GBR,11.48266027,30.20337095,15.11178684,15.82612597,..,8.248033537,9.00974552,8.924506594
1990,YR1990,United States,USA,33.02230821,40.93394357,10.06075032,17.84550284,16810000000,7.183780996,15.27236522,18.08518478
1990,YR1990,United Arab Emirates,ARE,3.44973247,..,..,..,..,..,..,..
1990,YR1990,Sweden,SWE,68.89335854,..,6.33426889,8.451195128,3190000000,12.79288581,11.68528608,10.60800346
1990,YR1990,Spain,ESP,27.84050136,35.13232241,14.25000468,5.708105547,1500727225,6.993187282,9.336059493,9.653176583
1990,YR1990,Qatar,QAT,0,..,..,..,..,..,..,..
1990,YR1990,Portugal,PRT,37.14754098,..,28.97356014,11.04739323,359633283.8,16.89161068,18.95453668,20.4381949
1990,YR1990,Pakistan,PAK,6.468957555,78.77253509,..,..,..,..,..,..
1990,YR1990,Nepal,NPL,39.66433566,52.62058095,..,..,2674800000,31.49662955,..,..
1990,YR1990,Malaysia,MYS,62.75604931,79.53661793,..,..,..,..,..,..
1990,YR1990,Japan,JPN,68.43115743,52.89407055,..,..,..,..,20.48002255,..
1990,YR1990,Finland,FIN,71.81893693,10.47561955,10.20759314,10.84265346,243704305.4,11.08754221,3.104374495,2.881298078
1990,YR1990,France,FRA,26.36394517,..,17.16387413,9.165211576,45582256.15,8.396625893,5.182598358,5.218269554
1990,YR1990,Belgium,BEL,..,..,..,..,..,..,..,..
2000,YR2000,Canada,CAN,38.79298183,58.73797424,10.36608269,7.381367441,..,10.14113347,21.97170347,19.7103027
2000,YR2000,India,IND,22.733495,55.0042465,10.26913105,11.55762437,4.7174E+11,24.91542423,29.64808273,38.91241532
2000,YR2000,Indonesia,IDN,53.94352867,..,..,..,..,..,..,..
2000,YR2000,Switzerland,CHE,30.26497017,25.77790616,5.876064179,6.281248503,1096077885,10.30083058,4.185658504,4.192489807
2000,YR2000,United Kingdom,GBR,12.21014343,87.44749774,15.08295666,10.50890721,..,3.401225751,7.258441904,7.512748749
2000,YR2000,United States,USA,33.13017359,33.26765486,8.662197166,12.80392242,20000000000,5.704844353,12.86214928,11.20582574
2000,YR2000,United Arab Emirates,ARE,4.356941707,..,..,..,..,..,..,..
2000,YR2000,Sweden,SWE,69.13885389,70.27831726,8.73976579,6.687091999,..,8.403503617,8.762251292,7.959598519
2000,YR2000,Spain,ESP,34.25637275,56.41656756,..,..,..,..,..,..
2000,YR2000,Qatar,QAT,0,..,..,..,..,..,..,..
2000,YR2000,Portugal,PRT,35.8579235,..,32.28020011,15.8279926,265000,..,..,..
2000,YR2000,Pakistan,PAK,5.852091117,66.75250207,4.007007321,47.80549819,61659000000,25.52016456,..,..
2000,YR2000,Nepal,NPL,40.32619463,64.57331984,..,..,10341000000,27.95392807,..,10.47484516
2000,YR2000,Malaysia,MYS,59.9341044,..,27.79458144,14.68489166,3599100000,21.80411295,15.38668062,14.53661043
2000,YR2000,Japan,JPN,68.24691358,98.93382307,6.052008785,5.242687288,..,..,11.88765998,..
2000,YR2000,Finland,FIN,73.69132276,..,9.501586462,7.394576019,-8000000,11.72163149,7.734042323,6.437451647
2000,YR2000,France,FRA,27.91987099,58.29925233,21.909696,5.843844391,19000000,4.976293209,6.18105391,6.372473896
2000,YR2000,Belgium,BEL,22.03764861,109.6474721,6.86222219,2.322568722,..,2.504865507,14.41489328,14.43736049
2013,YR2013,Canada,CAN,38.72565107,53.20086908,11.98718757,6.90344834,..,7.893044623,8.397000588,8.436848842
2013,YR2013,India,IND,23.64302315,50.31182736,8.128307055,8.741700595,1.87264E+12,12.64724344,19.4875636,25.68915783
2013,YR2013,Indonesia,IDN,51.60023414,27.78192722,15.10424332,10.58369444,3.16213E+13,25.11953778,7.701264546,7.856606659
2013,YR2013,Switzerland,CHE,31.51073153,20.21815744,6.945893579,6.614240747,1059339199,9.333039759,1.951637307,1.881136726
2013,YR2013,United Kingdom,GBR,12.88223866,141.5578557,12.7264904,13.10549947,..,7.62926618,7.3706298,8.790183518
2013,YR2013,United States,USA,33.8395963,95.53468821,10.0511436,8.277383446,35468000000,9.794223364,10.77545334,13.14243464
2013,YR2013,United Arab Emirates,ARE,4.467755562,1.845685137,32.22699326,29.23039373,5020531.5,83.40961304,..,..
2013,YR2013,Sweden,SWE,68.78092167,45.16954245,9.23592867,5.858856104,..,9.335673958,2.111614464,2.175801975
2013,YR2013,Spain,ESP,37.08211351,92.31229443,6.811587452,2.581504243,..,11.32027533,8.34043416,10.17661395
2013,YR2013,Qatar,QAT,0,..,..,..,..,..,..,..
2013,YR2013,Portugal,PRT,35.8931589,..,21.68390209,7.973165287,..,13.29965493,10.74023293,12.34986974
2013,YR2013,Pakistan,PAK,5.185050851,..,..,..,..,..,..,..
2013,YR2013,Nepal,NPL,41.59072201,..,26.69887256,9.412979537,54327890000,21.66746455,5.553007996,4.151113273
2013,YR2013,Malaysia,MYS,58.61388525,52.99925192,29.06810712,16.13490375,2523800000,26.91003711,9.899957963,9.73690984
2013,YR2013,Japan,JPN,68.45761317,186.5642973,5.488959879,5.172645468,..,..,9.260134198,..
2013,YR2013,Finland,FIN,73.52068183,..,8.229079015,7.755790719,1000000,12.8351215,3.056939154,3.205899675
2013,YR2013,France,FRA,30.442858,90.96854367,18.50639161,5.475354043,-38000000,5.779038935,4.594327714,4.974413748
2013,YR2013,Belgium,BEL,22.77173052,101.564361,5.992207939,2.237185603,..,4.137891385,6.554787825,6.951230788
2014,YR2014,Canada,CAN,38.72104457,51.48270813,11.5909341,7.125218518,..,7.194636485,7.705896016,7.424005088
2014,YR2014,India,IND,23.73262388,49.90092487,9.675050685,8.498908372,1.87976E+12,13.55984686,21.23559695,27.18508476
2014,YR2014,Indonesia,IDN,51.10689159,27.4216122,14.33654149,9.930459561,3.1705E+13,26.08119142,7.919117521,8.592617947
2014,YR2014,Switzerland,CHE,31.59822336,20.61124279,7.070948121,6.705214605,1068410877,9.140628201,1.803677855,1.754739333
2014,YR2014,United Kingdom,GBR,12.96160046,150.5759794,13.13329444,13.39323686,..,6.340814489,7.066835327,8.472723172
2014,YR2014,United States,USA,33.86965942,95.76669869,9.855120318,7.738508588,37363100000,7.8757288,11.02377381,13.22404298
2014,YR2014,United Arab Emirates,ARE,4.467755562,..,34.26731693,29.39173076,3974016,82.94201043,..,..
2014,YR2014,Sweden,SWE,68.73525954,49.45450857,9.255341326,5.735770678,..,8.167697079,1.67602212,1.720293236
2014,YR2014,Spain,ESP,37.08444853,105.5729617,6.853932897,2.617199135,..,10.46671388,8.577019756,10.05551222
2014,YR2014,Qatar,QAT,0,..,..,..,..,..,..,..
2014,YR2014,Portugal,PRT,36.02399853,..,19.75433068,7.851775809,..,12.8304373,10.4085384,12.61982478
2014,YR2014,Pakistan,PAK,5.143246679,..,..,..,..,..,..,..
2014,YR2014,Nepal,NPL,41.59072201,..,27.81810683,9.876657627,64121990000,22.78405984,3.969700675,2.975020958
2014,YR2014,Malaysia,MYS,58.92833967,52.67584873,30.73981681,15.73045025,2669690000,25.5730062,10.37169453,10.23826716
2014,YR2014,Japan,JPN,68.44554184,192.1128503,6.039481578,5.442179855,..,..,9.457350398,..
2014,YR2014,Finland,FIN,73.63059002,..,8.066409327,7.555738977,..,12.69776979,2.97013182,3.154190821
2014,YR2014,France,FRA,30.59517091,97.55438385,18.42599365,5.291530737,-116000000,5.767159431,4.357056918,4.720748289
2014,YR2014,Belgium,BEL,22.76796565,112.3090597,6.299170643,2.512790822,..,4.152718614,6.453198831,6.826212442
2015,YR2015,Canada,CAN,38.71643807,55.99158378,10.73226039,7.125587148,..,7.507692135,7.012501288,6.684858285
2015,YR2015,India,IND,23.82222461,49.96471839,8.423683843,8.91996557,2.10216E+12,14.86263852,20.71488956,25.20961764
2015,YR2015,Indonesia,IDN,50.61354905,30.30912614,16.64236806,12.03767906,3.06789E+13,17.70816949,9.326257068,10.34956852
2015,YR2015,Switzerland,CHE,31.68571785,20.43929496,7.061257783,6.702868936,1055710602,9.140804119,1.688761085,1.619425835
2015,YR2015,United Kingdom,GBR,13.04096226,147.6109814,13.12523515,13.22493321,..,6.262325552,6.331777193,7.34272123
2015,YR2015,United States,USA,33.89972254,96.42522795,9.709576731,7.400483978,38123000000,6.945062627,10.47869255,12.34780839
2015,YR2015,United Arab Emirates,ARE,4.467755562,..,36.66984472,36.78362628,4819797,92.16427109,..,..
2015,YR2015,Sweden,SWE,68.69449814,47.43432063,9.181246127,5.836187912,..,7.945638387,1.540268361,1.512178692
2015,YR2015,Spain,ESP,37.12753247,105.3954767,7.008072696,2.791493072,..,9.538143016,7.844682331,8.942188247
2015,YR2015,Qatar,QAT,0,..,..,..,..,..,..,..
2015,YR2015,Portugal,PRT,36.15499489,..,20.42044711,8.480405178,..,11.7783004,10.51957721,11.93854231
2015,YR2015,Pakistan,PAK,5.101442507,..,..,..,..,..,..,..
2015,YR2015,Nepal,NPL,41.59072201,..,26.11413315,9.385810342,70529058946,20.90397149,2.732006115,2.058426063
2015,YR2015,Malaysia,MYS,59.2427941,53.57446973,32.5398798,16.89596249,2732000000,24.48685238,11.28009485,11.08371666
2015,YR2015,Japan,JPN,68.43347051,194.584024,6.117731567,5.289806591,..,..,9.469508249,..
2015,YR2015,Finland,FIN,73.73564542,..,7.880194148,7.932513255,..,12.65503129,2.784051679,2.959433739
2015,YR2015,France,FRA,30.74748382,97.98033326,18.24303237,5.40024467,-120000000,5.600895617,4.051575676,4.390476875
2015,YR2015,Belgium,BEL,22.76420079,108.5913087,6.402935061,2.598237302,..,3.782316436,6.275371383,6.438307837
2016,YR2016,Canada,CAN,38.71201338,56.0236244,10.41614942,7.167926871,..,7.033616387,6.360173795,6.213119679
2016,YR2016,India,IND,23.91182535,47.63375559,9.629125741,7.750845739,2.23263E+12,13.22487666,20.3860448,24.21056088
2016,YR2016,Indonesia,IDN,50.74345453,31.36619071,16.37654947,12.79471903,3.15778E+13,17.60152813,9.906627922,11.74562075
2016,YR2016,Switzerland,CHE,31.77326642,19.38099266,6.936116194,6.789427295,1134339485,8.983529003,1.45803514,1.430261302
2016,YR2016,United Kingdom,GBR,13.05749597,156.0049433,13.44559002,13.20519406,..,5.934980121,6.835173043,7.57444685
2016,YR2016,United States,USA,33.89972254,98.50410172,9.668420049,7.204582369,37534000000,6.462590062,10.76914157,13.01586066
2016,YR2016,United Arab Emirates,ARE,4.467755562,..,34.82427973,39.31903448,4516745,92.21186911,..,..
2016,YR2016,Sweden,SWE,68.69449814,46.18805621,9.281012041,5.739774592,..,7.80333594,1.37309385,1.298635163
2016,YR2016,Spain,ESP,37.14286858,106.7808554,6.885682514,2.743235266,..,8.776009985,7.306599305,8.40882878
2016,YR2016,Qatar,QAT,0,..,..,..,..,..,..,..
2016,YR2016,Portugal,PRT,36.15499489,..,21.61094169,8.987255081,..,11.39830929,10.1555037,11.01830072
2016,YR2016,Pakistan,PAK,5.017953508,..,..,..,..,..,..,..
2016,YR2016,Nepal,NPL,41.59072201,..,24.05700478,12.01533401,77802641716,19.65118671,2.337310119,1.6550385
2016,YR2016,Malaysia,MYS,58.78752093,51.89052753,34.89704824,14.35360951,2905200000,20.27949214,12.63965061,12.46566959
2016,YR2016,Japan,JPN,68.42249657,193.2302909,6.205878409,5.470472748,..,..,9.330747871,..
2016,YR2016,Finland,FIN,73.73564542,..,7.570251572,8.074393849,..,12.07681314,2.649152759,2.739380547
2016,YR2016,France,FRA,30.89979673,102.2620449,18.19021473,5.371373187,-113000000,5.623519285,3.790720023,4.116159104
2016,YR2016,Belgium,BEL,22.76420079,110.196201,6.319199883,2.586354026,..,4.126421219,5.866953649,6.259717287
2017,YR2017,Canada,CAN,38.7078876,54.46256518,10.85212288,7.577196772,..,8.338508031,5.871677448,5.725803113
2017,YR2017,India,IND,24.00142608,47.58360938,9.455835542,7.183137228,1.35142E+12,10.5450064,19.83340191,24.2919369
2017,YR2017,Indonesia,IDN,50.03933382,32.42906712,15.94352967,14.64510858,3.44835E+13,19.43637981,11.14053121,12.99312099
2017,YR2017,Switzerland,CHE,31.8603338,20.28441183,6.996156111,6.778372292,1102681685,8.860343241,1.229415735,1.157878642
2017,YR2017,United Kingdom,GBR,13.07816311,161.0885905,15.18245435,12.65521728,..,6.251482364,7.515681946,8.195355824
2017,YR2017,United States,USA,33.86692641,97.69293636,9.582087223,7.136122122,38513000000,6.185151277,10.96955255,12.6311177
2017,YR2017,United Arab Emirates,ARE,4.467755562,..,37.27834743,36.60080383,3592718,91.80272044,..,..
2017,YR2017,Sweden,SWE,68.69449814,43.94756085,9.328707103,5.218920645,..,7.284697525,1.229070121,1.157071769
2017,YR2017,Spain,ESP,37.15223392,107.2863711,6.708201735,2.602876294,..,8.243187272,6.947037384,7.830829953
2017,YR2017,Qatar,QAT,0,..,..,..,..,..,..,..
2017,YR2017,Portugal,PRT,36.15499489,..,20.91042493,8.565589308,..,10.51431084,9.177475022,10.1136775
2017,YR2017,Pakistan,PAK,4.99418846,..,..,..,..,..,..,..
2017,YR2017,Nepal,NPL,41.59072201,..,22.913938,11.01647806,98410300000,15.30439071,1.932778214,1.532794232
2017,YR2017,Malaysia,MYS,58.63488054,50.04967774,35.47143311,15.99516458,2783686908,19.39485713,12.82970039,12.64186044
2017,YR2017,Japan,JPN,68.40877915,193.4871708,6.308200191,4.975310448,..,..,9.089417152,..
2017,YR2017,Finland,FIN,73.73321927,..,7.438015127,8.071486282,..,12.16345756,2.512767893,2.550326039
2017,YR2017,France,FRA,31.05210964,102.2152651,18.19577642,5.465688172,-127000000,5.377098858,3.57683801,3.827075281
2017,YR2017,Belgium,BEL,22.76420079,103.8836279,6.342687439,2.485799009,..,3.898344053,5.243892632,5.386651447
2018,YR2018,Canada,CAN,38.70376294,53.15153565,10.83137621,7.440387396,..,8.472041973,6.2862578,5.935678358
2018,YR2018,India,IND,24.09102681,46.52249867,9.016647074,6.6869688,1.12388E+12,8.863900137,19.39650979,23.01130625
2018,YR2018,Indonesia,IDN,49.71681778,33.13941924,15.61095979,12.96932356,3.88426E+13,21.87931165,11.73045987,13.27458999
2018,YR2018,Switzerland,CHE,31.94740118,18.67811857,6.997150401,6.762622587,1103429699,9.110994456,1.003484503,0.942716853
2018,YR2018,United Kingdom,GBR,13.11536395,157.8036627,15.72142606,12.55690515,..,6.170473016,6.871343581,7.591491947
2018,YR2018,United States,USA,33.86692641,99.06097612,9.466770727,7.329124083,53284000000,5.962012403,11.8183579,14.98693045
2018,YR2018,United Arab Emirates,ARE,4.467755562,..,35.57200096,36.64475931,1534726,91.88685752,..,..
2018,YR2018,Sweden,SWE,68.69449814,42.2624001,9.278510007,5.184907636,..,7.576137523,1.300910553,1.230911575
2018,YR2018,Spain,ESP,37.15664678,107.9745073,6.555646256,2.500920592,..,8.968292336,6.696503295,7.39513721
2018,YR2018,Qatar,QAT,0,..,..,..,..,..,..,..
2018,YR2018,Portugal,PRT,36.15499489,..,21.69977675,8.899597518,..,10.59796457,8.637736418,8.888334455
2018,YR2018,Pakistan,PAK,4.940561436,..,..,..,..,..,..,..
2018,YR2018,Nepal,NPL,41.59072201,..,15.99665501,9.018758685,1.21615E+11,17.90498114,2.331303802,2.02249876
2018,YR2018,Malaysia,MYS,58.48224015,51.18591488,34.70039585,15.30611308,2896600000,25.25844001,13.25178322,13.11701163
2018,YR2018,Japan,JPN,68.40877915,197.3346932,6.380103244,5.09290414,..,..,8.936504139,..
2018,YR2018,Finland,FIN,73.73321927,..,7.762651283,8.074892132,..,12.29817223,2.334688269,2.33656105
2018,YR2018,France,FRA,31.20442255,101.6221344,18.291553,5.524508283,-127000000,5.136002202,3.581890258,3.784966054
2018,YR2018,Belgium,BEL,22.76420079,101.3927395,6.200181443,2.542057501,..,4.648605144,4.712946491,4.742136461
2019,YR2019,Canada,CAN,38.69963717,53.36232469,10.47060424,7.116477714,..,8.413625924,6.164908436,6.089503247
2019,YR2019,India,IND,24.18062754,..,..,..,..,..,..,..
2019,YR2019,Indonesia,IDN,49.39429641,33.72915562,16.23801261,10.93640337,3.68449E+13,21.23574572,11.98910405,14.03565864
2019,YR2019,Switzerland,CHE,32.03446856,18.95425981,7.08672984,6.578207086,1142771850,8.587510358,0.90232991,0.843353509
2019,YR2019,United Kingdom,GBR,13.15256479,160.0202471,16.26939288,13.37922299,..,5.827700899,6.132504863,6.707668653
2019,YR2019,United States,USA,33.86692641,100.8050422,9.224823427,7.611033034,77751600000,5.041973627,11.98354492,15.62414564
2019,YR2019,United Arab Emirates,ARE,4.467755562,..,34.46519121,40.09362538,1636759,77.10667416,0.002622461,0.0020153
2019,YR2019,Sweden,SWE,68.69906052,38.67170969,9.434500292,5.399561876,..,7.999084925,1.11121602,1.047438774
2019,YR2019,Spain,ESP,37.16772156,112.0506343,6.583993165,2.534846061,..,9.392165445,6.200512632,6.829248277
2019,YR2019,Qatar,QAT,0,..,..,..,..,..,..,..
2019,YR2019,Portugal,PRT,36.15499489,..,22.05772833,8.684665012,..,10.76407232,7.758908944,7.907034223
2019,YR2019,Pakistan,PAK,4.886934413,..,..,..,..,..,..,..
2019,YR2019,Nepal,NPL,41.59072201,31.77714735,11.9332062,4.590983647,1.37009E+11,14.49815058,2.473497724,2.316968952
2019,YR2019,Malaysia,MYS,58.32959976,52.42135021,30.67125517,11.99916752,2732648168,31.7112032,12.54231525,12.45494573
2019,YR2019,Japan,JPN,68.40877915,198.0170845,6.250306939,5.685867291,..,..,8.501954039,..
2019,YR2019,Finland,FIN,73.73079327,..,8.003558121,8.064154472,..,12.58378935,2.164609424,2.150826423
2019,YR2019,France,FRA,31.35673546,104.9611611,18.06330928,5.623664749,-118000000,4.895747588,3.047705959,3.265952124
2019,YR2019,Belgium,BEL,22.76420079,103.3825324,6.107984643,2.544199036,..,3.834486831,4.355331853,4.545492239
2020,YR2020,Canada,CAN,38.69551251,74.91995451,7.083288018,4.945487101,..,7.120613021,3.677591313,5.504543867
2020,YR2020,India,IND,24.27022827,..,..,..,..,..,..,0.752284523
2020,YR2020,Indonesia,IDN,49.07178037,42.90179665,14.7716682,11.5258012,3.18763E+13,22.01548871,12.29627777,19.08585967
2020,YR2020,Switzerland,CHE,32.12153594,20.91088891,6.318382434,5.97480991,1186807361,9.189564825,0.67731363,0.752284523
2020,YR2020,United Kingdom,GBR,13.18563221,195.3922888,13.52036951,13.35839819,..,6.202627127,4.291193544,6.058661443
2020,YR2020,United States,USA,33.86692641,126.2435949,6.967839589,5.916481494,68626700000,4.817228965,7.796197615,14.09801342
2020,YR2020,United Arab Emirates,ARE,4.467755562,..,34.30027828,37.44049835,658180,76.66433659,0.108689959,0.079158266
2020,YR2020,Sweden,SWE,68.69907031,43.99405145,8.965836037,4.516160328,..,8.012463002,0.699315465,0.749370123
2020,YR2020,Spain,ESP,37.17730549,140.3961356,5.920484104,2.067456819,..,9.513354022,4.858022877,6.430792194
2020,YR2020,Qatar,QAT,0,..,..,..,..,..,..,0.752284523
2020,YR2020,Portugal,PRT,36.15499489,..,21.00362739,8.297630778,..,10.37871331,6.560684291,7.584847213
2020,YR2020,Pakistan,PAK,4.833307389,..,..,..,..,..,..,0.752284523
2020,YR2020,Nepal,NPL,41.59072201,39.04856313,15.02740584,4.431881634,1.17586E+11,21.64240552,3.323374975,3.329061352
2020,YR2020,Malaysia,MYS,58.17695937,62.02817316,31.67584238,11.19139078,2346001584,31.40168639,13.16506287,15.3258732
2020,YR2020,Japan,JPN,68.40877915,216.0623497,4.445578605,4.863534289,..,..,5.92832802,0.752284523
2020,YR2020,Finland,FIN,73.72836744,..,7.524628527,7.926067201,..,12.23927495,1.602998238,1.845446765
2020,YR2020,France,FRA,31.50904837,123.2821129,17.44741151,5.526958091,31000000,4.280049296,2.409404046,2.89988557
2020,YR2020,Belgium,BEL,22.76420079,119.4802904,5.762159577,2.485673229,..,3.323287628,3.854782615,4.550302913
2021,YR2021,Canada,CAN,39.47012793,64.04010491,9.056267769,6.101955753,..,9.15047752,4.40351117,5.2193767
2021,YR2021,India,IND,24.35982901,..,..,..,..,..,..,..
2021,YR2021,Indonesia,IDN,48.36194487,44.40397558,14.6170504,14.26334622,3.84443E+13,23.2219602,12.97558941,16.99014335
2021,YR2021,Switzerland,CHE,32.20860332,20.30455969,6.364286111,5.797482124,1276965273,9.187349064,0.577597844,0.590157516
2021,YR2021,United Kingdom,GBR,13.22145538,186.4819936,14.98399861,15.10303215,4533000000,5.224202754,6.504261361,8.146267638
2021,YR2021,United States,USA,33.86692641,120.3633671,6.723076859,6.195341734,89101400000,4.788747629,7.927674925,13.31999921
2021,YR2021,United Arab Emirates,ARE,4.467755562,..,33.07488675,30.56844603,..,72.0576459,0.399185894,0.340713651
2021,YR2021,Sweden,SWE,68.69906896,40.66066891,9.192222661,4.936250594,..,7.590875166,0.592822865,0.59458247
2021,YR2021,Spain,ESP,37.17275211,135.8186913,5.839411467,2.159615752,..,9.689902745,4.872919999,5.917561994
2021,YR2021,Qatar,QAT,0,..,..,..,..,..,..,..
2021,YR2021,Portugal,PRT,36.15499489,..,21.25963631,9.057655821,..,13.47200854,5.690878488,6.108827831
2021,YR2021,Pakistan,PAK,4.779680365,..,..,..,..,..,..,..
2021,YR2021,Nepal,NPL,41.59072201,39.92226864,14.07774872,4.354566258,1.68185E+11,15.51578511,4.105457781,3.856579608
2021,YR2021,Malaysia,MYS,58.02431898,63.40313295,32.12894389,9.327250886,2645000000,25.68914363,14.24647384,16.28603322
2021,YR2021,Japan,JPN,68.40877915,217.6142239,4.844903642,6.291509656,..,..,6.162831292,..
2021,YR2021,Finland,FIN,73.72649966,..,7.763336785,8.251786627,..,12.05020383,1.183574154,1.264725709
2021,YR2021,France,FRA,31.66136128,116.5470016,17.25783567,5.61734382,42000000,6.639110507,2.740030081,3.152853704
2021,YR2021,Belgium,BEL,22.76420079,109.2242853,5.768779242,2.525469445,..,3.221949072,3.485548703,3.810556323
2022,YR2022,Canada,CAN,..,59.00361888,10.28418835,7.73106885,..,..,6.138637465,..
2022,YR2022,India,IND,..,..,..,..,..,..,..,..
2022,YR2022,Indonesia,IDN,..,..,..,..,..,..,..,..
2022,YR2022,Switzerland,CHE,..,..,..,..,..,..,..,..
2022,YR2022,United Kingdom,GBR,..,..,..,..,..,..,..,..
2022,YR2022,United States,USA,..,115.5975878,7.965356181,7.657292927,..,..,11.28429974,..
2022,YR2022,United Arab Emirates,ARE,..,..,..,..,..,..,..,..
2022,YR2022,Sweden,SWE,..,..,..,..,..,..,..,..
2022,YR2022,Spain,ESP,..,..,..,..,..,..,..,..
2022,YR2022,Qatar,QAT,..,..,..,..,..,..,..,..
2022,YR2022,Portugal,PRT,..,..,..,..,..,..,..,..
2022,YR2022,Pakistan,PAK,..,..,..,..,..,..,..,..
2022,YR2022,Nepal,NPL,..,..,..,..,..,..,..,..
2022,YR2022,Malaysia,MYS,..,..,..,..,..,..,..,..
2022,YR2022,Japan,JPN,..,..,..,..,..,..,..,..
2022,YR2022,Finland,FIN,..,..,..,..,..,..,..,..
2022,YR2022,France,FRA,..,..,..,..,..,..,..,..
2022,YR2022,Belgium,BEL,..,..,..,..,..,..,..,..
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,